encounter_timestamp,park_area_id,park_district,park_borough,patroncount,in_playground,action_taken,amenity
07/07/2020 02:33:23 PM,X179,X-02,Bronx,50,true,Approached the crowd; they ignored the employee,Basketball court
07/05/2020 10:40:24 AM,B247,B-18,Brooklyn,50,false,Approached the crowd; they ignored the employee,Baseball field
07/04/2020 12:56:31 PM,B247,B-18,Brooklyn,20,false,Approached the crowd; they ignored the employee,Bench/sitting area
07/03/2020 10:16:52 PM,Q377,Q-06,Queens,75,false,Did not approach the crowd; the crowd remains,Soccer field
07/02/2020 03:11:30 PM,B018,B-18,Brooklyn,75,false,Approached the crowd; they ignored the employee,Open field/multi-purpose play area
07/01/2020 11:35:04 AM,X039-ZN01,X-15,Bronx,200,false,Did not approach the crowd; the crowd remains,Track/field area
06/30/2020 08:15:21 AM,M029-01,M-12,Manhattan,12,true,Did not approach the crowd; the crowd remains,Adult fitness equipment
06/29/2020 11:15:32 AM,Q357B01,Q-06,Queens,1,false,Approached the crowd; they complied with instructions,Handall court
06/29/2020 07:35:49 AM,M144-ZN04,M-03,Manhattan,15,false,Approached the crowd; they ignored the employee,Baseball field
06/28/2020 08:43:04 PM,X092-09,X-13,Bronx,50,true,Did not approach the crowd; the crowd remains,Playground
06/28/2020 08:42:20 PM,X092-ZN03,X-13,Bronx,250,false,Did not approach the crowd; the crowd remains,Open field/multi-purpose play area
06/28/2020 08:41:12 PM,X092-ZN16,X-13,Bronx,60,false,Approached the crowd; they ignored the employee,Walking path
06/28/2020 08:40:15 PM,X092-ZN02,X-13,Bronx,200,false,Did not approach the crowd; the crowd remains,Baseball field
06/28/2020 08:39:21 PM,X092-ZN12,X-13,Bronx,100,false,Approached the crowd; they ignored the employee,Open field/multi-purpose play area
06/28/2020 02:51:00 PM,X255,X-02,Bronx,300,false,Approached the crowd; they ignored the employee,Baseball field
06/28/2020 01:38:35 PM,Q162J,Q-14,Queens,150,true,Approached the crowd; they ignored the employee,Bench/sitting area
06/28/2020 12:53:56 PM,Q126,Q-07,Queens,100,false,Did not approach the crowd; the crowd remains,Handall court
06/28/2020 12:18:20 PM,M144-ZN06,M-03,Manhattan,20,false,Approached the crowd; they ignored the employee,Open field/multi-purpose play area
