Body Name,Date,Transaction Number,Amount,Supplier Name,Supplier ID,Expense Area,Expense Type,Procurement Card?,Registration Number,Time Period for Grant,Purpose of Grant
Yorkshire Dales National Park Authority,01/08/2021,RDC N04569000 2022/005,225.00,RICHMONDSHIRE DISTRICT COUNCIL - RATES DD,S3484,Contracts - Access Rangers,Rates,,,,
Yorkshire Dales National Park Authority,01/08/2021,RDC N084911002 2022/005,2038.00,RICHMONDSHIRE DISTRICT COUNCIL - RATES DD,S3484,Office Accomodation,Rates,,,,
Yorkshire Dales National Park Authority,01/08/2021,CDC 50005325651 2022/005,147.00,CRAVEN DISTRICT COUNCIL - RATES DD,S3485,Car Parks,Rates,,,,
Yorkshire Dales National Park Authority,01/08/2021,CDC 50006368798 2022/005,187.00,CRAVEN DISTRICT COUNCIL - RATES DD,S3485,Car Parks,Rates,,,,
Yorkshire Dales National Park Authority,01/08/2021,CDC 50006368751  2022/005,549.00,CRAVEN DISTRICT COUNCIL - RATES DD,S3485,Car Parks,Rates,,,,
Yorkshire Dales National Park Authority,01/08/2021,CDC 50006368742 2022/005,644.48,CRAVEN DISTRICT COUNCIL - RATES DD,S3485,Car Parks,Rates,,,,
Yorkshire Dales National Park Authority,01/08/2021,CDC 50006368760 2022/005,861.00,CRAVEN DISTRICT COUNCIL - RATES DD,S3485,Car Parks,Rates,,,,
Yorkshire Dales National Park Authority,01/08/2021,CDC 50005331156  2022/005,948.00,CRAVEN DISTRICT COUNCIL - RATES DD,S3485,Car Parks,Rates,,,,
Yorkshire Dales National Park Authority,01/08/2021,CDC 50006368789 2022/005,1226.16,CRAVEN DISTRICT COUNCIL - RATES DD,S3485,Car Parks,Rates,,,,
Yorkshire Dales National Park Authority,01/08/2021,CDC 50005323051 2022/005,2246.00,CRAVEN DISTRICT COUNCIL - RATES DD,S3485,Car Parks,Rates,,,,
Yorkshire Dales National Park Authority,01/08/2021,CDC 50002987959 2022/005,247.00,CRAVEN DISTRICT COUNCIL - RATES DD,S3485,Contracts - Access Rangers,Rates,,,,
Yorkshire Dales National Park Authority,01/08/2021,CDC 50005333756  2022/005,1497.00,CRAVEN DISTRICT COUNCIL - RATES DD,S3485,Office Accomodation,Rates,,,,
Yorkshire Dales National Park Authority,01/08/2021,CDC 50006368742 2022/005,203.52,CRAVEN DISTRICT COUNCIL - RATES DD,S3485,Toilets,Rates,,,,
Yorkshire Dales National Park Authority,01/08/2021,CDC 50006368789 2022/005,345.84,CRAVEN DISTRICT COUNCIL - RATES DD,S3485,Toilets,Rates,,,,
Yorkshire Dales National Park Authority,02/08/2021,PCARD-2022/005,149.03,GOOGLE CLOUD,N/A,Communications,IT-Websites,Y,,,
Yorkshire Dales National Park Authority,02/08/2021,PCARD-2022/005,9.96,AMAZON.CO.UK,S1426,Dales Countryside Museum,Tools & Office Equipment,Y,,,
Yorkshire Dales National Park Authority,02/08/2021,PCARD-2022/005,19.48,AMAZON.CO.UK,S1426,Dales Countryside Museum,Materials,Y,,,
Yorkshire Dales National Park Authority,02/08/2021,PCARD-2022/005,19.93,AMAZON.CO.UK,S1426,IT Development,IT- Hardware Purchases,Y,,,
Yorkshire Dales National Park Authority,02/08/2021,PCARD-2022/005,104.94,AMAZON.CO.UK,S1426,IT Development,IT- Hardware Purchases,Y,,,
Yorkshire Dales National Park Authority,02/08/2021,PCARD-2022/005,162.30,AMAZON.CO.UK,S1426,IT Development,IT- Hardware Purchases,Y,,,
Yorkshire Dales National Park Authority,02/08/2021,PCARD-2022/005,249.60,AMAZON.CO.UK,S1426,IT Development,IT- Hardware Purchases,Y,,,
Yorkshire Dales National Park Authority,02/08/2021,PCARD-2022/005,373.00,AMAZON.CO.UK,S1426,IT Development,IT- Hardware Purchases,Y,,,
